expense_id,role_id,category,amount
31,cxvOC8cjTpKe8z0V0b6D1Q,Onsite travel,62
32,cxvOC8cjTpKe8z0V0b6D1Q,Onsite travel,149
33,cxvOC8cjTpKe8z0V0b6D1Q,Personnel assessment,50
34,cxvOC8cjTpKe8z0V0b6D1Q,Personnel assessment,50
35,cxvOC8cjTpKe8z0V0b6D1Q,Personnel assessment,50
36,cxvOC8cjTpKe8z0V0b6D1Q,Personnel assessment,50
37,fJ8M0YvkRN2qVWjeQxIPvg,Job board listing,200
38,fJ8M0YvkRN2qVWjeQxIPvg,Onsite travel,155
39,fJ8M0YvkRN2qVWjeQxIPvg,Onsite travel,380
40,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
41,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
42,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
43,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
44,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
45,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
46,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
47,fJ8M0YvkRN2qVWjeQxIPvg,Personnel assessment,50
48,mdOphIXtQSKQHO5OX1D5qA,Job board listing,200
49,mdOphIXtQSKQHO5OX1D5qA,Onsite travel,286
50,mdOphIXtQSKQHO5OX1D5qA,Personnel assessment,50
51,mdOphIXtQSKQHO5OX1D5qA,Personnel assessment,50
52,mdOphIXtQSKQHO5OX1D5qA,Personnel assessment,50
53,mdOphIXtQSKQHO5OX1D5qA,Personnel assessment,50
54,eu_KU1ttQSO8A6C4x8SYBg,Job board listing,200
55,eu_KU1ttQSO8A6C4x8SYBg,Onsite travel,344
56,eu_KU1ttQSO8A6C4x8SYBg,Onsite travel,349
57,eu_KU1ttQSO8A6C4x8SYBg,Personnel assessment,50
58,eu_KU1ttQSO8A6C4x8SYBg,Personnel assessment,50
59,eu_KU1ttQSO8A6C4x8SYBg,Personnel assessment,50
60,eu_KU1ttQSO8A6C4x8SYBg,Personnel assessment,50
61,eu_KU1ttQSO8A6C4x8SYBg,Personnel assessment,50
62,K8hrVD-ITHOsbko2-CF72g,Job board listing,200
63,K8hrVD-ITHOsbko2-CF72g,Onsite travel,426
64,K8hrVD-ITHOsbko2-CF72g,Personnel assessment,50
65,K8hrVD-ITHOsbko2-CF72g,Personnel assessment,50
66,K8hrVD-ITHOsbko2-CF72g,Personnel assessment,50
67,5fxpxngLQ-mbt0-_wUm2cQ,Internal referral bonus,500
68,5fxpxngLQ-mbt0-_wUm2cQ,Job board listing,200
69,5fxpxngLQ-mbt0-_wUm2cQ,Personnel assessment,50
70,5fxpxngLQ-mbt0-_wUm2cQ,Personnel assessment,50
71,5fxpxngLQ-mbt0-_wUm2cQ,Personnel assessment,50
72,0snyGnExQleTrVU4XaWKdw,Job board listing,200
73,0snyGnExQleTrVU4XaWKdw,Onsite travel,225
74,0snyGnExQleTrVU4XaWKdw,Onsite travel,272
75,0snyGnExQleTrVU4XaWKdw,Onsite travel,279
76,0snyGnExQleTrVU4XaWKdw,Onsite travel,456
77,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
78,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
79,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
80,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
81,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
82,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
83,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
84,0snyGnExQleTrVU4XaWKdw,Personnel assessment,50
85,qR4hTgpOSyO8E24RLK_New,Job board listing,200
86,qR4hTgpOSyO8E24RLK_New,Onsite travel,178
87,qR4hTgpOSyO8E24RLK_New,Personnel assessment,50
88,qR4hTgpOSyO8E24RLK_New,Personnel assessment,50
89,sPg8CGM-QJOnWSnXwRtNLQ,Job board listing,200
90,sPg8CGM-QJOnWSnXwRtNLQ,Onsite travel,166
91,sPg8CGM-QJOnWSnXwRtNLQ,Onsite travel,331
92,sPg8CGM-QJOnWSnXwRtNLQ,Onsite travel,374
93,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
94,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
95,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
96,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
97,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
98,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
99,sPg8CGM-QJOnWSnXwRtNLQ,Personnel assessment,50
100,sY2YvsURQFCuW4DaTdODAQ,Job board listing,200
101,sY2YvsURQFCuW4DaTdODAQ,Onsite travel,361
102,sY2YvsURQFCuW4DaTdODAQ,Onsite travel,404
103,sY2YvsURQFCuW4DaTdODAQ,Personnel assessment,50
104,sY2YvsURQFCuW4DaTdODAQ,Personnel assessment,50
105,sY2YvsURQFCuW4DaTdODAQ,Personnel assessment,50
106,sY2YvsURQFCuW4DaTdODAQ,Personnel assessment,50
107,zEpfDP23QJy-iAoYvkR3rw,Internal referral bonus,500
108,zEpfDP23QJy-iAoYvkR3rw,Job board listing,200
109,zEpfDP23QJy-iAoYvkR3rw,Personnel assessment,50
110,zEpfDP23QJy-iAoYvkR3rw,Personnel assessment,50
111,N6pKuHsZSwup9lx0ZZCt_A,Internal referral bonus,500
112,N6pKuHsZSwup9lx0ZZCt_A,Job board listing,200
113,N6pKuHsZSwup9lx0ZZCt_A,Onsite travel,94
114,N6pKuHsZSwup9lx0ZZCt_A,Personnel assessment,50
115,N6pKuHsZSwup9lx0ZZCt_A,Personnel assessment,50
116,N6pKuHsZSwup9lx0ZZCt_A,Personnel assessment,50
117,N6pKuHsZSwup9lx0ZZCt_A,Personnel assessment,50
118,N6pKuHsZSwup9lx0ZZCt_A,Personnel assessment,50
119,sc8U20MMRTuUX8YTtHU5wQ,Job board listing,200
120,sc8U20MMRTuUX8YTtHU5wQ,Onsite travel,457
121,sc8U20MMRTuUX8YTtHU5wQ,Personnel assessment,50
122,sc8U20MMRTuUX8YTtHU5wQ,Personnel assessment,50
123,sc8U20MMRTuUX8YTtHU5wQ,Personnel assessment,50
124,sc8U20MMRTuUX8YTtHU5wQ,Personnel assessment,50
125,Tu6UEKdzTP2lujryVcNMzw,Job board listing,200
126,Tu6UEKdzTP2lujryVcNMzw,Onsite travel,367
127,Tu6UEKdzTP2lujryVcNMzw,Personnel assessment,50
128,Tu6UEKdzTP2lujryVcNMzw,Personnel assessment,50
129,Tu6UEKdzTP2lujryVcNMzw,Personnel assessment,50
130,Tu6UEKdzTP2lujryVcNMzw,Personnel assessment,50
131,Tu6UEKdzTP2lujryVcNMzw,Personnel assessment,50
132,IL-fdcNYStOO-dE1ufJJ3Q,Job board listing,200
133,IL-fdcNYStOO-dE1ufJJ3Q,Onsite travel,66
134,IL-fdcNYStOO-dE1ufJJ3Q,Personnel assessment,50
135,IL-fdcNYStOO-dE1ufJJ3Q,Personnel assessment,50
136,IL-fdcNYStOO-dE1ufJJ3Q,Personnel assessment,50
137,YRNoHe9PTPiX0jNL-mJmlw,Internal referral bonus,500
138,YRNoHe9PTPiX0jNL-mJmlw,Job board listing,200
139,YRNoHe9PTPiX0jNL-mJmlw,Onsite travel,133
140,YRNoHe9PTPiX0jNL-mJmlw,Onsite travel,201
141,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
142,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
143,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
144,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
145,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
146,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
147,YRNoHe9PTPiX0jNL-mJmlw,Personnel assessment,50
148,XP8N4UKaRbGZlrnaqMhB0Q,Job board listing,200
149,XP8N4UKaRbGZlrnaqMhB0Q,Onsite travel,95
150,XP8N4UKaRbGZlrnaqMhB0Q,Onsite travel,481
151,XP8N4UKaRbGZlrnaqMhB0Q,Personnel assessment,50
152,XP8N4UKaRbGZlrnaqMhB0Q,Personnel assessment,50
153,XP8N4UKaRbGZlrnaqMhB0Q,Personnel assessment,50
154,XP8N4UKaRbGZlrnaqMhB0Q,Personnel assessment,50
155,XP8N4UKaRbGZlrnaqMhB0Q,Personnel assessment,50
156,XP8N4UKaRbGZlrnaqMhB0Q,Personnel assessment,50
157,lTz9cO__SYGhwQHoT2oE0Q,Job board listing,200
158,lTz9cO__SYGhwQHoT2oE0Q,Onsite travel,157
159,lTz9cO__SYGhwQHoT2oE0Q,Onsite travel,267
160,lTz9cO__SYGhwQHoT2oE0Q,Onsite travel,302
161,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
162,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
163,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
164,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
165,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
166,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
167,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
168,lTz9cO__SYGhwQHoT2oE0Q,Personnel assessment,50
169,SoE806kSSi2-pX4Ds7RGQg,Internal referral bonus,500
170,SoE806kSSi2-pX4Ds7RGQg,Job board listing,200
171,SoE806kSSi2-pX4Ds7RGQg,Onsite travel,115
172,SoE806kSSi2-pX4Ds7RGQg,Onsite travel,232
173,SoE806kSSi2-pX4Ds7RGQg,Onsite travel,284
174,SoE806kSSi2-pX4Ds7RGQg,Onsite travel,468
175,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
176,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
177,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
178,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
179,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
180,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
181,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
182,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
183,SoE806kSSi2-pX4Ds7RGQg,Personnel assessment,50
184,cgKaSKFRSS-0T56BImP3_g,Internal referral bonus,500
185,cgKaSKFRSS-0T56BImP3_g,Job board listing,200
186,cgKaSKFRSS-0T56BImP3_g,Onsite travel,306
187,cgKaSKFRSS-0T56BImP3_g,Personnel assessment,50
188,cgKaSKFRSS-0T56BImP3_g,Personnel assessment,50
189,cgKaSKFRSS-0T56BImP3_g,Personnel assessment,50
190,cgKaSKFRSS-0T56BImP3_g,Personnel assessment,50
191,cgKaSKFRSS-0T56BImP3_g,Personnel assessment,50
192,cgKaSKFRSS-0T56BImP3_g,Personnel assessment,50
193,pWesdohhQryrWWTDn46HIA,Job board listing,200
194,pWesdohhQryrWWTDn46HIA,Onsite travel,124
195,pWesdohhQryrWWTDn46HIA,Onsite travel,137
196,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
197,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
198,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
199,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
200,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
201,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
202,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
203,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
204,pWesdohhQryrWWTDn46HIA,Personnel assessment,50
205,ZjC4TNDXS-SiUD4eh4kZVw,Internal referral bonus,500
206,ZjC4TNDXS-SiUD4eh4kZVw,Job board listing,200
207,ZjC4TNDXS-SiUD4eh4kZVw,Onsite travel,49
208,ZjC4TNDXS-SiUD4eh4kZVw,Onsite travel,54
209,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
210,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
211,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
212,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
213,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
214,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
215,ZjC4TNDXS-SiUD4eh4kZVw,Personnel assessment,50
216,5khl7szxQvCBASFOldjvSA,Internal referral bonus,500
217,5khl7szxQvCBASFOldjvSA,Job board listing,200
218,5khl7szxQvCBASFOldjvSA,Onsite travel,236
219,5khl7szxQvCBASFOldjvSA,Onsite travel,254
220,5khl7szxQvCBASFOldjvSA,Onsite travel,332
221,5khl7szxQvCBASFOldjvSA,Personnel assessment,50
222,5khl7szxQvCBASFOldjvSA,Personnel assessment,50
223,5khl7szxQvCBASFOldjvSA,Personnel assessment,50
224,5khl7szxQvCBASFOldjvSA,Personnel assessment,50
225,8WtYGgDwRKWgF-3usIk4AQ,Internal referral bonus,500
226,8WtYGgDwRKWgF-3usIk4AQ,Job board listing,200
227,8WtYGgDwRKWgF-3usIk4AQ,Onsite travel,77
228,8WtYGgDwRKWgF-3usIk4AQ,Onsite travel,224
229,8WtYGgDwRKWgF-3usIk4AQ,Onsite travel,242
230,8WtYGgDwRKWgF-3usIk4AQ,Onsite travel,303
231,8WtYGgDwRKWgF-3usIk4AQ,Onsite travel,312
232,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
233,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
234,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
235,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
236,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
237,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
238,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
239,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
240,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
241,8WtYGgDwRKWgF-3usIk4AQ,Personnel assessment,50
242,SKEv4fQmRs2-kaRlgElf7w,Internal referral bonus,500
243,SKEv4fQmRs2-kaRlgElf7w,Job board listing,200
244,SKEv4fQmRs2-kaRlgElf7w,Onsite travel,440
245,SKEv4fQmRs2-kaRlgElf7w,Onsite travel,487
246,SKEv4fQmRs2-kaRlgElf7w,Personnel assessment,50
247,SKEv4fQmRs2-kaRlgElf7w,Personnel assessment,50
248,SKEv4fQmRs2-kaRlgElf7w,Personnel assessment,50
249,SKEv4fQmRs2-kaRlgElf7w,Personnel assessment,50
250,SKEv4fQmRs2-kaRlgElf7w,Personnel assessment,50
251,SYeg2uU9SzOSnE9yvb724g,Job board listing,200
252,SYeg2uU9SzOSnE9yvb724g,Onsite travel,88
253,SYeg2uU9SzOSnE9yvb724g,Onsite travel,91
254,SYeg2uU9SzOSnE9yvb724g,Personnel assessment,50
255,SYeg2uU9SzOSnE9yvb724g,Personnel assessment,50
256,SYeg2uU9SzOSnE9yvb724g,Personnel assessment,50
257,SYeg2uU9SzOSnE9yvb724g,Personnel assessment,50
258,SYeg2uU9SzOSnE9yvb724g,Personnel assessment,50
259,z2ihhu6NRFOA1Wtq_nuV0Q,Internal referral bonus,500
260,z2ihhu6NRFOA1Wtq_nuV0Q,Job board listing,200
261,z2ihhu6NRFOA1Wtq_nuV0Q,Personnel assessment,50
262,z2ihhu6NRFOA1Wtq_nuV0Q,Personnel assessment,50
263,0x5pbSq5QQ-PwGY3jLa4uQ,Job board listing,200
264,0x5pbSq5QQ-PwGY3jLa4uQ,Onsite travel,168
265,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
266,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
267,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
268,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
269,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
270,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
271,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
272,0x5pbSq5QQ-PwGY3jLa4uQ,Personnel assessment,50
273,3kuRwEq2TlmJA6lwluXxMw,Job board listing,200
274,3kuRwEq2TlmJA6lwluXxMw,Onsite travel,214
275,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
276,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
277,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
278,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
279,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
280,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
281,3kuRwEq2TlmJA6lwluXxMw,Personnel assessment,50
282,mQ7H_-yRQPiNPD7qj6jkYw,Internal referral bonus,500
283,mQ7H_-yRQPiNPD7qj6jkYw,Job board listing,200
284,mQ7H_-yRQPiNPD7qj6jkYw,Onsite travel,120
285,mQ7H_-yRQPiNPD7qj6jkYw,Personnel assessment,50
286,mQ7H_-yRQPiNPD7qj6jkYw,Personnel assessment,50
287,mQ7H_-yRQPiNPD7qj6jkYw,Personnel assessment,50
288,pfWtgnASTems2EYDEQ_dQA,Internal referral bonus,500
289,pfWtgnASTems2EYDEQ_dQA,Job board listing,200
290,pfWtgnASTems2EYDEQ_dQA,Onsite travel,401
291,pfWtgnASTems2EYDEQ_dQA,Personnel assessment,50
292,pfWtgnASTems2EYDEQ_dQA,Personnel assessment,50
293,pfWtgnASTems2EYDEQ_dQA,Personnel assessment,50
294,zTSk3Uo0SGCM1qssJZbiCQ,Internal referral bonus,500
295,zTSk3Uo0SGCM1qssJZbiCQ,Job board listing,200
296,zTSk3Uo0SGCM1qssJZbiCQ,Onsite travel,92
297,zTSk3Uo0SGCM1qssJZbiCQ,Personnel assessment,50
298,zTSk3Uo0SGCM1qssJZbiCQ,Personnel assessment,50
299,zTSk3Uo0SGCM1qssJZbiCQ,Personnel assessment,50
300,2g_xl0LXT-qC1mVwLvJVSA,Job board listing,200
301,2g_xl0LXT-qC1mVwLvJVSA,Onsite travel,257
302,2g_xl0LXT-qC1mVwLvJVSA,Onsite travel,471
303,2g_xl0LXT-qC1mVwLvJVSA,Personnel assessment,50
304,2g_xl0LXT-qC1mVwLvJVSA,Personnel assessment,50
305,2g_xl0LXT-qC1mVwLvJVSA,Personnel assessment,50
306,2g_xl0LXT-qC1mVwLvJVSA,Personnel assessment,50
307,X58M_Dd6SYeueYecsxntJw,Internal referral bonus,500
308,X58M_Dd6SYeueYecsxntJw,Job board listing,200
309,X58M_Dd6SYeueYecsxntJw,Onsite travel,232
310,X58M_Dd6SYeueYecsxntJw,Personnel assessment,50
311,X58M_Dd6SYeueYecsxntJw,Personnel assessment,50
312,X58M_Dd6SYeueYecsxntJw,Personnel assessment,50
313,X58M_Dd6SYeueYecsxntJw,Personnel assessment,50
314,331MB3-CQ4KzhPo5NEy5_A,Job board listing,200
315,331MB3-CQ4KzhPo5NEy5_A,Onsite travel,80
316,331MB3-CQ4KzhPo5NEy5_A,Onsite travel,135
317,331MB3-CQ4KzhPo5NEy5_A,Onsite travel,254
318,331MB3-CQ4KzhPo5NEy5_A,Onsite travel,258
319,331MB3-CQ4KzhPo5NEy5_A,Onsite travel,354
320,331MB3-CQ4KzhPo5NEy5_A,Onsite travel,421
321,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
322,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
323,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
324,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
325,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
326,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
327,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
328,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
329,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
330,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
331,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
332,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
333,331MB3-CQ4KzhPo5NEy5_A,Personnel assessment,50
334,3KDRHLqoRbudtNntoIra7A,Job board listing,200
335,3KDRHLqoRbudtNntoIra7A,Onsite travel,130
336,3KDRHLqoRbudtNntoIra7A,Personnel assessment,50
337,3KDRHLqoRbudtNntoIra7A,Personnel assessment,50
338,3KDRHLqoRbudtNntoIra7A,Personnel assessment,50
339,3KDRHLqoRbudtNntoIra7A,Personnel assessment,50
340,3KDRHLqoRbudtNntoIra7A,Personnel assessment,50
341,3M7cIBJ1T5ePrcl9cWAuzQ,Internal referral bonus,500
342,3M7cIBJ1T5ePrcl9cWAuzQ,Job board listing,200
343,3M7cIBJ1T5ePrcl9cWAuzQ,Onsite travel,98
344,3M7cIBJ1T5ePrcl9cWAuzQ,Onsite travel,232
345,3M7cIBJ1T5ePrcl9cWAuzQ,Onsite travel,467
346,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
347,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
348,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
349,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
350,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
351,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
352,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
353,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
354,3M7cIBJ1T5ePrcl9cWAuzQ,Personnel assessment,50
355,i4pUt8E8RAqWxDwt7V2r1A,Internal referral bonus,500
356,i4pUt8E8RAqWxDwt7V2r1A,Job board listing,200
357,i4pUt8E8RAqWxDwt7V2r1A,Personnel assessment,50
358,i4pUt8E8RAqWxDwt7V2r1A,Personnel assessment,50
359,otfntfFHTWSL8WotJFtilA,Internal referral bonus,500
360,otfntfFHTWSL8WotJFtilA,Job board listing,200
361,otfntfFHTWSL8WotJFtilA,Onsite travel,225
362,otfntfFHTWSL8WotJFtilA,Onsite travel,285
363,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
364,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
365,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
366,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
367,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
368,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
369,otfntfFHTWSL8WotJFtilA,Personnel assessment,50
370,u_mCNRprQRy5Gb-Yc_CKYw,Job board listing,200
371,u_mCNRprQRy5Gb-Yc_CKYw,Onsite travel,87
372,u_mCNRprQRy5Gb-Yc_CKYw,Onsite travel,180
373,u_mCNRprQRy5Gb-Yc_CKYw,Onsite travel,330
374,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
375,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
376,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
377,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
378,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
379,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
380,u_mCNRprQRy5Gb-Yc_CKYw,Personnel assessment,50
381,jXo41HAEQJiYNZhBmeX8Fg,Internal referral bonus,500
382,jXo41HAEQJiYNZhBmeX8Fg,Job board listing,200
383,jXo41HAEQJiYNZhBmeX8Fg,Onsite travel,175
384,jXo41HAEQJiYNZhBmeX8Fg,Onsite travel,449
385,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
386,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
387,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
388,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
389,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
390,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
391,jXo41HAEQJiYNZhBmeX8Fg,Personnel assessment,50
392,zI-RwWw5RXyFtYtWP2RDaA,Job board listing,200
393,zI-RwWw5RXyFtYtWP2RDaA,Onsite travel,161
394,zI-RwWw5RXyFtYtWP2RDaA,Onsite travel,206
395,zI-RwWw5RXyFtYtWP2RDaA,Onsite travel,256
396,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
397,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
398,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
399,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
400,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
401,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
402,zI-RwWw5RXyFtYtWP2RDaA,Personnel assessment,50
403,10Ptp8pnQ622F47WUfw9Xw,Job board listing,200
404,10Ptp8pnQ622F47WUfw9Xw,Onsite travel,59
405,10Ptp8pnQ622F47WUfw9Xw,Onsite travel,66
406,10Ptp8pnQ622F47WUfw9Xw,Onsite travel,66
407,10Ptp8pnQ622F47WUfw9Xw,Onsite travel,259
408,10Ptp8pnQ622F47WUfw9Xw,Onsite travel,297
409,10Ptp8pnQ622F47WUfw9Xw,Personnel assessment,50
410,10Ptp8pnQ622F47WUfw9Xw,Personnel assessment,50
411,10Ptp8pnQ622F47WUfw9Xw,Personnel assessment,50
