open_id,post_date,branch,department,filled,fill_date,duration
otfntfFHTWSL8WotJFtilA,2022-10-06,F,Human Resources,1,2022-11-14,39
u_mCNRprQRy5Gb-Yc_CKYw,2022-10-06,G,Human Resources,1,2022-10-31,25
3KDRHLqoRbudtNntoIra7A,2022-10-06,H,Human Resources,1,2022-11-08,33
i4pUt8E8RAqWxDwt7V2r1A,2022-10-06,J,Finance and Accounting,1,2022-11-16,41
jXo41HAEQJiYNZhBmeX8Fg,2022-10-07,B,Human Resources,1,2022-11-26,50
zI-RwWw5RXyFtYtWP2RDaA,2022-10-07,F,Information Technology,1,2022-10-30,23
vGWCrTtARgCcpkvsZindQQ,2022-10-08,B,Customer Service and Support,1,2022-11-08,31
x-8o65S9QO-j3LsZ8DvtGw,2022-10-08,B,Human Resources,1,2022-11-18,41
9MdwN2MQRNKuIjSg4xHEKQ,2022-10-08,D,Sales,1,2022-11-05,28
10Ptp8pnQ622F47WUfw9Xw,2022-10-08,I,Information Technology,1,2022-11-02,25
tFteYsgwTC6U0T1nf6egew,2022-10-09,E,Customer Service and Support,1,2022-11-10,32
vyz9E-ijQeagAe83sAMApw,2022-10-09,F,Finance and Accounting,1,2022-11-25,47
Mu_FVFIhRK6_cNWcgseq_A,2022-10-09,G,Customer Service and Support,1,2022-10-31,22
tnXCq95-RPS47i6WCyXjyQ,2022-10-09,J,Finance and Accounting,1,2022-11-29,51
jKzS76bQTLix_S0Pa34riQ,2022-10-10,B,Human Resources,1,2022-11-07,28
95VeLHXUStm6n6njWmz5Jg,2022-10-10,F,Customer Service and Support,1,2022-11-07,28
DasvUnKZRBa_13wcehPjKg,2022-10-10,F,Human Resources,1,2022-11-14,35
Y0T7cNJUR4SQiG4stQW9PQ,2022-10-11,E,Information Technology,1,2022-10-30,19
_gFU3UacSLew9Z4QCRQ13Q,2022-10-11,H,Customer Service and Support,1,2022-10-30,19
7hnlzhbkT26hgINmRfMyxQ,2022-10-11,I,Human Resources,1,2022-11-20,40
Xecj-mMZTvODyVny7SKWNw,2022-10-11,J,Marketing,1,2022-11-18,38
3SNqQn26Te-42nS2DaeDCw,2022-10-12,D,Customer Service and Support,1,2022-11-02,21
rkmHr78QRuWkPfLEbeBQ7w,2022-10-12,F,Finance and Accounting,1,2022-11-14,33
XnUnlLLnRMq8EoAuKUSoWg,2022-10-13,D,Marketing,1,2022-11-14,32
2SfXBQW_Q2KHrlkFakZ6Iw,2022-10-13,G,Finance and Accounting,1,2022-11-04,22
ftFp8_x9RTG2pl96YVmtjQ,2022-10-13,G,Marketing,1,2022-11-06,24
4BydCa_0SUac_EScYe-Y7g,2022-10-14,A,Customer Service and Support,1,2022-11-06,23
QYO3I8RhR8WLwE9VTwsBIA,2022-10-14,G,Information Technology,1,2022-10-30,16
kB5BUEI5RnO1Oyd7oMZ3eg,2022-10-14,H,Information Technology,1,2022-11-22,39
DUjeCypuRtadLdYemJv4SA,2022-10-14,I,Information Technology,1,2022-11-20,37
p8yMkbcoQVuWt7TDX1EqXQ,2022-10-15,A,Customer Service and Support,1,2022-11-04,20
JN0BhSdmRcu56iqyq4QrpQ,2022-10-15,D,Finance and Accounting,1,2022-11-12,28
y4s_3jTATHeMaFUDx1-zDQ,2022-10-15,E,Customer Service and Support,1,2022-11-07,23
d5LrAPfmRwOk7wk_4LlicA,2022-10-15,E,Finance and Accounting,1,2022-11-17,33
HFM9g8mOTTOHCsUOyxO8yA,2022-10-15,I,Human Resources,1,2022-11-20,36
YQG8V4UtQKayds_v4OM1Ng,2022-10-15,I,Human Resources,1,2022-11-30,46
ctreEjzySFa0I2U-zWU6Aw,2022-10-15,J,Sales,1,2022-11-15,31
I7SNi9TGSUip0f4GDLEDUg,2022-10-16,F,Customer Service and Support,1,2022-11-11,26
0U1ANP70SbazCMUIUGtF6Q,2022-10-16,I,Finance and Accounting,1,2022-12-10,55
H1o2xZlGQQyT01nfN-GANQ,2022-10-17,E,Finance and Accounting,1,2022-11-10,24
p5rSMSLwQZGtHpaqEPNiCg,2022-10-17,F,Sales,1,2022-11-24,38
dNuOfoBsSxOewShm9O7k3Q,2022-10-17,G,Sales,1,2022-11-14,28
aSTWp-EqSm-xILQVVjL6zw,2022-10-17,J,Information Technology,1,2022-11-20,34
q3NkfvmSSHybbPZPY5U5NQ,2022-10-17,J,Information Technology,1,2022-11-20,34
j1GPqSurS_-JtwqQmAWJHQ,2022-10-18,J,Human Resources,1,2022-11-27,40
RzCLrIwCRwyyxhyU2Hrc_A,2022-10-19,D,Marketing,1,2022-11-22,34
FXmKq50uSr-o7sG3LcT6JA,2022-10-19,F,Marketing,1,2022-11-22,34
3DgdEP6TSIiJMeQxDPkgUA,2022-10-19,G,Sales,1,2022-11-13,25
TGHyKkRURfWWgPYVCliV4A,2022-10-19,I,Finance and Accounting,1,2022-11-10,22
bi-eNLfMRRSOr1U4CD84Lw,2022-10-19,J,Customer Service and Support,1,2022-11-04,16
IeBlO5xhTMyrceQH7eOwvQ,2022-10-19,J,Human Resources,1,2022-11-21,33
NcS4KiSWSDuVbMpEbJDfCw,2022-10-20,A,Marketing,1,2022-11-14,25
eLBZX1TcRBifBkMjrQFEUQ,2022-10-20,E,Finance and Accounting,1,2022-11-18,29
b0KRQszfRd2blOH34n2g9Q,2022-10-21,A,Finance and Accounting,1,2022-11-18,28
kvN8l6zVQd2HS5IHesOXMA,2022-10-21,A,Information Technology,1,2022-11-15,25
15UaPCXVQ5OXpITQD8_5SQ,2022-10-21,B,Finance and Accounting,1,2022-11-20,30
VH16cZCcQHiLsH5q9o-KeA,2022-10-21,B,Marketing,1,2022-11-22,32
L11Vecr5RdSAndMR7gVVCQ,2022-10-21,C,Marketing,1,2022-11-11,21
1RQVVULOS2CCGpZBMTc-xw,2022-10-21,D,Finance and Accounting,1,2022-11-14,24
7e0GBg9uSYC1PzTlyuKmKQ,2022-10-21,F,Customer Service and Support,1,2022-11-12,22
Iwl1jYJUSXGjC8ERePMkjA,2022-10-22,A,Marketing,1,2022-11-12,21
sP9PZREuR4iNbJAfTNR31w,2022-10-22,A,Sales,1,2022-11-19,28
RIxVnIPRRYSa7zAfD7_yFw,2022-10-22,D,Finance and Accounting,1,2022-11-08,17
V2Zp6khQSIGCLfbwPq6mqA,2022-10-22,E,Customer Service and Support,1,2022-11-09,18
2acn3ZZqRRSlbhR-ECkScQ,2022-10-22,E,Information Technology,1,2022-10-31,9
eNRRlkaGRO-JFYUIfLlTfQ,2022-10-22,F,Human Resources,1,2022-12-02,41
Tybm5D4uQim2Ld0cVO3Xmw,2022-10-22,I,Marketing,1,2022-12-08,47
FYIEky2sTk6f-imedEV35A,2022-10-22,J,Sales,1,2022-12-02,41
0SJXp9AFQPG9nZPIrJT5kQ,2022-10-23,E,Human Resources,1,2022-11-23,31
UGGXzVQbRcaMv47gde-TGw,2022-10-23,E,Human Resources,1,2022-11-24,32
6_lrqLVbTXO8oV7EUF0CGA,2022-10-23,F,Customer Service and Support,1,2022-11-16,24
cQ0yPPU0RsWEtF4dDA_cVA,2022-10-24,G,Human Resources,1,2022-11-21,28
K87U0uihRC-gZOXB0Ry1Kg,2022-10-24,G,Information Technology,1,2022-11-09,16
IYlDrsKkRBKGCgZeOEHrYg,2022-10-24,J,Sales,1,2022-11-29,36
CGdaPHO8RVmKiCU9AumeRQ,2022-10-25,A,Information Technology,1,2022-11-15,21
b6yTjl3JSjm_goUhGZ0uWg,2022-10-25,A,Information Technology,1,2022-11-20,26
vPyf6g91TO6U4Uu0OE7Cnw,2022-10-25,B,Information Technology,1,2022-12-05,41
Jp6DIdkcQ1eia83xPz3Iqw,2022-10-25,B,Marketing,1,2022-12-02,38
Sj6tZMCcTuup1P42Fts8aw,2022-10-25,F,Finance and Accounting,1,2022-11-25,31
aOsEF_XuT2ueUDzaUgPjjg,2022-10-25,J,Finance and Accounting,1,2022-12-02,38
SgSc4_m6SyGmGafhIrAOAw,2022-10-26,D,Sales,1,2022-11-24,29
OIb0Y9JmSxmANKuDmgueiQ,2022-10-26,I,Customer Service and Support,1,2022-12-02,37
T0VA3oNVRcO99zbIN1PGCg,2022-10-27,A,Customer Service and Support,1,2022-11-10,14
awIToZNxQvezWWYWrkEL5A,2022-10-27,A,Marketing,1,2022-12-01,35
RpI9oB-mR7SmqcL7cPckMA,2022-10-27,B,Human Resources,1,2022-12-06,40
Rq7o4_lpR-6b-ASNTmyFVw,2022-10-27,C,Marketing,1,2022-11-15,19
Zkt-f2JyS7Wfkckqn3N2VQ,2022-10-27,D,Human Resources,1,2022-12-05,39
Y_FxWtBqSvKhWX4SQzGiFg,2022-10-27,G,Information Technology,1,2022-11-16,20
4NV2r8fXQ_iOrzGMjgwKgA,2022-10-27,G,Marketing,1,2022-11-05,9
lgRqZf_RQ4OwiDXumrKs5A,2022-10-27,H,Human Resources,1,2022-11-25,29
4Mtb29gnQHOp2tiOiVjQSQ,2022-10-27,J,Information Technology,1,2022-11-21,25
l_x75RaIRjiGkCvtJgTIig,2022-10-27,J,Sales,1,2022-12-08,42
175MsDcCRtW_vvlnFkyUOQ,2022-10-28,D,Sales,1,2022-11-21,24
vI8O0mCtRKKbZi1az3g8Fg,2022-10-28,E,Finance and Accounting,1,2022-11-14,17
cvvOqcAXTw6Jiwyx8ccZfA,2022-10-28,G,Information Technology,1,2022-11-19,22
NhpXcWYPREiXd8dsiWMX7Q,2022-10-28,H,Finance and Accounting,1,2022-12-08,41
HaIXzCoITj-AvhB5b-KkzQ,2022-10-28,I,Finance and Accounting,1,2022-12-01,34
KoMs24ycR96r6x8ksgih6A,2022-10-28,I,Information Technology,1,2022-11-20,23
MhpZJPzTSuacQ17AcIlSVA,2022-10-29,B,Human Resources,1,2022-12-11,43
Y_EfICsASOWTLTb4U8_Lpw,2022-10-29,D,Finance and Accounting,1,2022-11-11,13
b8U_lF3yT-a6KSMycqP0LQ,2022-10-29,F,Customer Service and Support,1,2022-11-30,32
GA-Lx5cDT3q2x-IEakXejA,2022-10-29,F,Marketing,1,2022-12-09,41
eTCDp4PGSY-V0SC5_Ox2TA,2022-10-29,H,Information Technology,1,2022-11-25,27
I5QQXPAERWmDsAZTgfIF8Q,2022-10-29,I,Sales,1,2022-12-07,39
zRDIagKzT82zBawFeqMOfA,2022-10-29,J,Customer Service and Support,1,2022-11-19,21
mcdkYzACTlea1RYUtLSFxw,2022-10-30,A,Information Technology,1,2022-11-22,23
lm9FxYG-RpO1q3CqmFgSyQ,2022-10-30,B,Sales,1,2022-12-02,33
F0RltyQGRPSc9v_I_XXbsg,2022-10-30,E,Information Technology,1,2022-11-23,24
pYVVXKTDTseJXgIDTt4Muw,2022-10-30,F,Human Resources,1,2022-12-12,43
XxKYJKsTR_GVeKXT3nnjoQ,2022-10-30,F,Information Technology,1,2022-12-01,32
TB6C8SKYRWmUo91Paakv5Q,2022-10-30,H,Customer Service and Support,1,2022-11-25,26
CBm8SUb7Qy-vY0E1F89DEg,2022-10-31,A,Human Resources,1,2022-11-28,28
10i2Rbv-TE-9I3TDKKcbMQ,2022-10-31,D,Finance and Accounting,1,2022-11-24,24
JPfC7tR8Sl6exM560KYxLg,2022-10-31,F,Information Technology,1,2022-12-03,33
_WDh5dQwTqmZM4YCrh-iHg,2022-10-31,G,Sales,1,2022-12-01,31
TJSaxaEzT3CtoOCqj6SVIw,2022-10-31,H,Human Resources,1,2022-12-11,41
7qSbb2jGSl2qYm6swpRvTg,2022-10-31,I,Marketing,1,2022-12-07,37
bFnlhQI3RN2sbn5VBsEcHw,2022-10-31,I,Marketing,1,2022-12-07,37
QcRHlz85T3GmCgvMbSdaUQ,2022-10-31,I,Sales,1,2022-12-09,39
ItEri5WFSPqnyexah2ot4Q,2022-11-01,D,Human Resources,1,2022-11-30,29
u0nSXVcDT2-dugTiSQDuRg,2022-11-01,E,Human Resources,1,2022-11-27,26
ngqSuKgwRdaZnfoqElR-eg,2022-11-02,B,Human Resources,1,2022-11-30,28
RZMINAVOTC6kAjhH9LH0fg,2022-11-02,C,Sales,1,2022-11-05,3
gMkbl79GQO-PKdjGFVwFOg,2022-11-02,D,Marketing,1,2022-11-20,18
YxaK00OdQAGLnwJ5Y8VaMg,2022-11-02,D,Sales,1,2022-11-09,7
cs5IjNKRT6aWzgbbo1dcbw,2022-11-02,F,Human Resources,1,2022-12-25,53
OIjOuO6uTfyLZqM38orEUw,2022-11-02,H,Sales,1,2022-12-02,30
nPtzVVVMQ4CxINVpktbB9g,2022-11-03,C,Finance and Accounting,1,2022-11-24,21
WkOFf4KyRfiuWy5HljEugw,2022-11-03,D,Customer Service and Support,1,2022-11-23,20
bOK65_OSS-e8QC7ZFmFcmA,2022-11-03,F,Finance and Accounting,1,2022-12-09,36
ou0pbjknTx-btH37NizO4A,2022-11-03,F,Human Resources,1,2022-12-27,54
0mwr4MOdSxGThK95UhtaxQ,2022-11-03,G,Information Technology,1,2022-11-29,26
gZaPIMb2QoGgtKrmGOqYAA,2022-11-03,G,Sales,1,2022-12-06,33
ZGRstixfQxqcZqIkIcE0kg,2022-11-04,A,Marketing,1,2022-12-11,37
nH3t5iyIQb6KIVbtTeyjfQ,2022-11-04,B,Customer Service and Support,1,2022-11-20,16
AGIIIx9ZSlevHFA7fqOf7g,2022-11-04,B,Sales,1,2022-12-13,39
vbRPqSLAQMixDtwVX16hCQ,2022-11-04,D,Finance and Accounting,1,2022-12-02,28
0_zUynqnT8ueLGiG7MT2sw,2022-11-04,D,Sales,1,2022-12-03,29
cl8doMN6TZe13y5KiD6WvA,2022-11-04,E,Customer Service and Support,1,2022-11-11,7
w4A7RjLURKiDbnVJco6w9Q,2022-11-04,F,Finance and Accounting,1,2022-12-07,33
XZspp0IvRAqEsLBGIEZ73Q,2022-11-04,H,Information Technology,1,2022-12-10,36
lhPO2d-mTpqBJYL-nybICA,2022-11-05,B,Information Technology,1,2022-12-02,27
B83E3AwnSMqbFTqQXwXqVA,2022-11-05,B,Marketing,1,2022-12-03,28
eV0uWRGDQTSN1EKRztD3Cg,2022-11-05,C,Finance and Accounting,1,2022-11-13,8
qfoMtNmDQBeXG_836Q3I8A,2022-11-05,D,Customer Service and Support,1,2022-11-23,18
VZrLJ213RgmsQDum_2UkgQ,2022-11-05,F,Marketing,1,2022-12-16,41
bMAtmL91Q1OkT3MofGlN9g,2022-11-05,I,Information Technology,1,2022-12-09,34
8P6YSCx7SKKVGuIkjFszmQ,2022-11-05,J,Marketing,1,2022-12-15,40
aVTziK4hSoaY0hu5VtSfvQ,2022-11-06,B,Customer Service and Support,1,2022-11-23,17
DxMiLCIVTBKyawnpuL01QQ,2022-11-06,E,Information Technology,1,2022-12-06,30
ol7Oa08SRJWBdk5ivWdISQ,2022-11-06,E,Marketing,1,2022-12-07,31
9DLiKmZDTVG4bp2SZTor9Q,2022-11-06,G,Customer Service and Support,1,2022-11-20,14
UV6omTHMT4yitkdLFbo5TQ,2022-11-06,G,Marketing,1,2022-12-03,27
kg4Jp1tUQWS59RV-Q0fMRA,2022-11-06,I,Sales,1,2022-12-14,38
I-O7ZOu3Q7uPj7opD3nkNw,2022-11-07,B,Marketing,1,2022-12-17,40
LoE1kU6OR0GXKa90DBwBUw,2022-11-07,D,Information Technology,1,2022-12-09,32
esVa-i0lR8CnLT_eprncHg,2022-11-07,E,Marketing,1,2022-12-09,32
-aq-1VuqSvWgHv6Mc7rDvA,2022-11-07,G,Finance and Accounting,1,2022-11-28,21
9lIfuuC9QO-VKfX7EBRDpQ,2022-11-07,G,Human Resources,1,2022-12-01,24
i5RykJazQEm64-ap5WSYag,2022-11-07,G,Marketing,1,2022-11-22,15
e3lTA9-wRKCBMR3LZ9zyug,2022-11-07,H,Customer Service and Support,1,2022-11-20,13
I5xTPmzSS1mmEqwqw92guA,2022-11-07,J,Finance and Accounting,1,2022-12-07,30
dkFvoMLCT-CkW8gC72Q8nw,2022-11-08,C,Information Technology,1,2022-11-24,16
LUF8RuSlSSqIIEXZbq8GjQ,2022-11-08,D,Marketing,1,2022-12-18,40
LHwFjCcBRh-QDsA32iK-0Q,2022-11-08,G,Sales,1,2022-11-27,19
6hlnu0aLTWqg5l3kd-blUw,2022-11-08,H,Customer Service and Support,1,2022-11-25,17
v-l3ZtqRTNSLzVSLHagSKw,2022-11-08,H,Information Technology,1,2022-12-07,29
CbKX_V2rROGvNTgw-RriuQ,2022-11-08,H,Marketing,1,2022-12-19,41
vPwOPjDuTgC7ohYn2lfqjg,2022-11-08,I,Information Technology,1,2022-12-21,43
LOSG40meThOs-iTOAPxafw,2022-11-09,A,Customer Service and Support,1,2022-11-27,18
Iz933yRlTEG7jgZET8MRXA,2022-11-09,G,Marketing,1,2022-12-10,31
y1BckFF-TX6i3o5rUmyOqQ,2022-11-09,H,Human Resources,1,2022-12-27,48
n4u-rtNUR76SfAlvOOJJvg,2022-11-09,I,Finance and Accounting,1,2022-12-23,44
3g0BZqgjSOi9QBCJuoamuQ,2022-11-09,I,Marketing,1,2022-12-29,50
NZAr92W8RgS1Nr3X77MJlw,2022-11-10,A,Customer Service and Support,1,2022-11-25,15
hP6WnmuaQKO4_Z_0V2m8mQ,2022-11-10,E,Human Resources,1,2022-12-02,22
_LYTI07yTtSGuRHudft2NQ,2022-11-10,F,Human Resources,1,2022-12-20,40
suKnGPYWTwikvqDkpSvKGA,2022-11-10,H,Customer Service and Support,1,2022-12-14,34
sUGbyql7S0-XpM0u6pJQ6w,2022-11-10,J,Human Resources,1,2022-12-14,34
t8VbxkYjROyWHQbN0CVHsQ,2022-11-11,D,Finance and Accounting,1,2022-11-27,16
RplaWTuHSU-KxI_qH2bxhg,2022-11-11,I,Marketing,1,2022-12-10,29
ptGm-cJTQKOjFsQr25NGyg,2022-11-11,J,Marketing,1,2022-12-30,49
MLEbQTIqQqGa-BtnP5PvMA,2022-11-12,A,Human Resources,1,2022-12-16,34
4rMU7CKUS2m5c7JPP3n0gA,2022-11-12,E,Sales,1,2022-12-13,31
MBwUvSoERG-bMZRrWaEfcQ,2022-11-12,G,Finance and Accounting,1,2022-12-01,19
G1bYg_QgQFi3WpHkzdetew,2022-11-12,G,Marketing,1,2022-11-24,12
5gQQtd4VQEubdn1ud9hqxA,2022-11-13,B,Finance and Accounting,1,2022-12-24,41
6iqcfSuZQ6i5PnFH4OUiWQ,2022-11-13,B,Information Technology,1,2022-12-17,34
lMSl8eztSI2x2iJJddcAlw,2022-11-13,C,Information Technology,1,2022-11-27,14
89Dikb6YRMm_NSO-5LfnTg,2022-11-13,F,Human Resources,1,2022-12-27,44
DAU2ZhuISmmbDjGYhAHbxQ,2022-11-13,H,Sales,1,2022-12-05,22
Vv9EyDutTOiLsq7TbbJdfg,2022-11-13,J,Finance and Accounting,1,2022-12-29,46
0rqgt-2ORH2L1v-uY2LfNA,2022-11-14,B,Marketing,1,2022-12-17,33
1FK19DGXQeqaR7zzqlzkKg,2022-11-14,F,Information Technology,1,2022-12-18,34
ivGZ9BQbT7e8r1pk-at1pw,2022-11-14,F,Marketing,1,2023-01-01,48
Nba99XSUQCiAnUAdJoZXOg,2022-11-14,J,Finance and Accounting,1,2022-12-22,38
FoKNi_ktSdK9hj5KXkkhQA,2022-11-15,A,Information Technology,1,2022-12-15,30
2ru1eBaPQWeKn5O4wkB9KQ,2022-11-15,D,Marketing,1,2022-12-12,27
cr5lyoZ6TKqg7Ze5IS8IDg,2022-11-15,G,Customer Service and Support,1,2022-12-17,32
WtjjNzF6SA-SsupGaKXOrg,2022-11-15,H,Finance and Accounting,1,2022-12-09,24
15bRfO7_RdGV0kfG23tghw,2022-11-15,I,Customer Service and Support,1,2022-12-14,29
ht2DBVekQUul_XqS1ncidg,2022-11-15,I,Sales,1,2023-01-11,57
w3Q5_Nn3Q8yCySnWcphoRQ,2022-11-15,J,Information Technology,1,2022-12-17,32
Z-KQy2yYRWOTL30YFXLU4Q,2022-11-16,G,Customer Service and Support,1,2022-11-27,11
BoWjLLxbRBeQ9LI6jeAn3Q,2022-11-16,H,Customer Service and Support,1,2022-11-30,14
QjjALHwcRUu-ME9GfLhJFQ,2022-11-16,I,Sales,1,2022-12-27,41
qiO_bPjDT1qFL1uR0sGcBA,2022-11-16,J,Human Resources,1,2022-12-25,39
Y26tHlllRsywTYRpRfp-7Q,2022-11-16,J,Sales,1,2023-01-12,57
YNRNF74cTs-LUE1Dk0u5Gg,2022-11-17,C,Customer Service and Support,1,2022-11-17,0
CPBBvA0hRHGcrZAk4Y0dKQ,2022-11-17,G,Sales,1,2022-12-16,29
GBVjfsZyQrS9PFGMexYAXQ,2022-11-17,I,Finance and Accounting,1,2022-12-27,40
DvuToyItSxCkpvVKNLzHMw,2022-11-17,I,Human Resources,1,2023-01-09,53
RfkJfN4KTB-NAplQeOB3rg,2022-11-18,A,Marketing,1,2022-12-14,26
5KpmXiwvR8WTXGQ4CXQdfQ,2022-11-19,J,Information Technology,1,2022-12-29,40
NdMG3PQWTyWBuk2SO_wqVg,2022-11-20,A,Marketing,1,2022-12-10,20
FYnFNnqcS4msUBUK9I1b3w,2022-11-20,D,Finance and Accounting,1,2022-12-11,21
htcbVZw9QL2Ar2zg1PcGIQ,2022-11-20,I,Finance and Accounting,1,2022-12-26,36
qAqLdVUdRsWC5OcsomooRA,2022-11-20,I,Finance and Accounting,1,2022-12-25,35
4PMBs-KoTJmJ5VGp3F8brQ,2022-11-21,B,Sales,1,2023-01-13,53
9xKYHTulQ4mcx-kQONYiug,2022-11-21,C,Sales,1,2022-12-09,18
VOIZueQ3RCWchrUAQw7KbA,2022-11-21,C,Sales,1,2022-12-08,17
yYBG7orlTWqmaGIuvephxw,2022-11-21,C,Sales,1,2022-11-28,7
Jj0ruLcMTxWzfmEfZDGpiw,2022-11-21,E,Finance and Accounting,1,2022-12-23,32
bLcs9hp5Tdup9tmDgnubww,2022-11-21,E,Sales,1,2022-12-22,31
2ylNkhC4QKmheXmdtcJu7Q,2022-11-21,F,Finance and Accounting,1,2022-12-18,27
RYs2Wtx-QqGHQCQI9hwJ9g,2022-11-21,F,Information Technology,1,2022-12-23,32
vOrbwEkCQZOxSWcuX6lpPg,2022-11-21,G,Sales,1,2022-12-10,19
7a_0GPVtTiOa33UY9vTHKQ,2022-11-21,I,Human Resources,1,2022-12-27,36
7OFL1uSGReWGyU7JRVB5TA,2022-11-21,J,Customer Service and Support,1,2022-12-24,33
IPouGNgoR8CpH-QlDjr5NQ,2022-11-22,A,Human Resources,1,2022-12-28,36
UOIJOUMVSr-C3tdf9J_F0A,2022-11-22,B,Marketing,1,2022-12-31,39
Kd0_RBHrTw-u0KeaYBOKkg,2022-11-22,F,Customer Service and Support,1,2022-12-11,19
IzyCvhCYQKGDmGkkOXKyKQ,2022-11-22,F,Human Resources,1,2023-01-03,42
XkuZjocbSHaK3TdW-kpo1A,2022-11-22,I,Finance and Accounting,1,2023-01-09,48
54ahd84YTiqWTUSm3YrlGA,2022-11-23,A,Customer Service and Support,1,2022-12-19,26
wSBzs-btQMSZb0wOOQB7Wg,2022-11-23,H,Customer Service and Support,1,2022-12-12,19
GuG2OoZlRX2fi4ZFBdoDTw,2022-11-23,I,Sales,1,2022-12-29,36
P7vptjhERByulKeq_NIAbg,2022-11-23,J,Customer Service and Support,1,2022-12-24,31
GZg_2q_ZSSWtaeqR4mzNVQ,2022-11-24,B,Information Technology,1,2022-12-13,19
-r-Q7wdBRUSg5dn9eevvgw,2022-11-24,C,Finance and Accounting,1,2022-12-10,16
IC1KGgRwTKKnD8CFyk0inw,2022-11-24,G,Marketing,1,2022-12-10,16
0Nnw7tZ6SN6gBqk7eO7jOg,2022-11-24,I,Finance and Accounting,1,2023-01-06,43
xjRlDdD0RJu9I0-aK65qLw,2022-11-25,C,Marketing,1,2022-12-04,9
P40qOO0rQKOXjnVp9CGzNg,2022-11-25,D,Human Resources,1,2022-12-31,36
zxqu7lWEQYq4qjr5hRQ2Sg,2022-11-25,H,Finance and Accounting,1,2022-12-26,31
